commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type
JD5826,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JD5831,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JD5840A,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JD5865,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JD5895,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JD5905,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD5960,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JD6605,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI1610,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JI1660,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JI2510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JI2530,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JI2910,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JI3740,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI4110,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI4130,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI4240,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI4430,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI4520,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI5660,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI5805,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5826,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5830,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5835,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5840,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5845,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5895,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Services
JI5985,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI5995,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6350,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6520,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6530,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6610,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6625,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6650,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6660,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI6685,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI7010,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JI7021,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JI7025,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JI7110,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI7125,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI7220,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
