commodity_code,gsin-description_en,gsin-description_fr,Commodity Type
N6625Y,WAVEGUIDE AND COAXIAL TEST COMPONENTS AND ACCESSORIES,Accessoires et composants d'essai coaxial et guide d'ondes,Goods                                                           
N6625YU,"WAVEGUIDE, WINDOWS, TEST","Filtres de guide d'ondes, essai",Goods                                                           
N6625Z,"ELECTRONIC TEST EQUIPMENT, N.E.S. AND COMPONENTS AND ACCESSORIES",Équipement d'essai électronique et composants et accessoires,Goods                                                           
N6625ZAS,"SCANNER, TEST","Analyseur, essai",Goods                                                           
N6625ZCA,"CURRENT TRACERS, LOGIC","Traceur de courant, logique",Goods                                                           
N6630,Chemical Analysis Instruments,Instruments d'analyse chimique,Goods                                                           
N6630A,ANALYZERS,Analyseurs,Goods                                                           
N6630AA,"ANALYZERS, AMINO ACID","Analyseurs, aminoacide",Goods                                                           
N6630AC,"ANALYZERS, COAGULATION, AUTOMATIC","Analyseurs, automatiques, coagulation",Goods                                                           
N6630AE,"ANALYZERS, ELECTRON PROBE (MICROPROBE)","Analyseurs, sonde électronique, microsonde",Goods                                                           
N6630AF,"ANALYZERS, GAS (INCLUDES NOX, CO, CO2, SO2, O2) EXCLUDES HAZARD TYPE","Analyseurs de gaz, comprend NOX, CO, CO2, SO2, O2, exclut type  danger",Goods                                                           
N6630AG,"ANALYZERS, ELEMENTAL (C, H, N, TOC)","Analyseurs, élémentaires, C, H, N, TOC",Goods                                                           
N6630AH,"ANALYZERS, BLOOD GAS, ELECTROLYTES (PCO,PH,PO,NA,K,CA)","Analyseurs, gaz dans le sang, électrolytes, PCO, PH, PO, NA, K, CA",Goods                                                           
N6630AJ,"ANALYZERS, FLOW CYTOMETERS","Analyseurs, cytomètres à flux continu",Goods                                                           
N6630AL,"ANALYZERS, POLAROGRAPHY","Analyseurs, polarographe",Goods                                                           
N6630AM,"ANALYZERS, CHEMICAL, AUTOMATIC (INCLUDES CLINICAL)","Analyseurs chimiques, automatiques, comprend médicaux",Goods                                                           
N6630AN,"ANALYZERS, SURFACE ORIENTATED (AUGER, PHOTOELECTRON SPECTROMETERS, MOLECULAR BEAM EPITAXY, CHEMICAL VAPOR DEPOSITION)","Analyseurs de surface, orientés, spectromètres de photoélectrons Auger, épitaxie de faisceau moléculaire, dépôt de vapeur chimique",Goods                                                           
N6630B,CHROMATOGRAPH,Chromatographe,Goods                                                           
N6630BA,"CHROMATOGRAPH, GAS",Chromatographe en phase gazeuse,Goods                                                           
N6630BB,"CHROMATOGRAPH, GAS, MASS SPECTROMETER, DATA SYSTEM (GC, MS/DS)","Chromatographe en phase gazeuse, spectromètre de masse, système de données, CG, SM, SD",Goods                                                           
N6630BC,"CHROMATOGRAPH, GAS, MASS SPECTROMETER","Chromatographe, gaz, spectromètre à masse",Goods                                                           
N6630BD,"CHROMATOGRAPH, LIQUID (HPLC)","Chromatographe, liquide, CLHP",Goods                                                           
N6630BF,"CHROMATOGRAPH, ACCESSORIES (COLUMNS, DETECTORS, PUMPS)","Chromatographe, accessoires, colonnes, détecteurs, pompes",Goods                                                           
N6630BH,"CHROMATOGRAPH, ION",Chromatographe ionique,Goods                                                           
N6630C,COLORIMETER (ALL TYPES),"Colorimètre, tous les types",Goods                                                           
N6630D,COUNTERS,Compteurs,Goods                                                           
N6630DA,"COUNTERS, LIQUID SCINTILLATION","Compteurs, à scintillation de liquide",Goods                                                           
N6630DB,"COUNTERS, GAMMA",Compteurs de rayons Gamma,Goods                                                           
N6630DC,"COUNTERS, PLANCHET SYSTEMS","Compteurs, systèmes à flan",Goods                                                           
N6630DE,"COUNTERS, PARTICLE","Compteurs, particule",Goods                                                           
N6630E,TURBIDIMETER (INCL NEPHELOMETER),"Opacimètre, incluant néphélomètre",Goods                                                           
N6630F,HYDROMETER (ALL TYPES),"Hydromètre, tous les types",Goods                                                           
N6630G,PH METERS (ALL TYPES),"Ph mètres, tous les types",Goods                                                           
N6630GA,"PH METERS, ACCESSORIES (INCLUDES BUFFERS, ELECTRODES)","Ph mètres, accessoires, comprend tampons, électrodes",Goods                                                           
N6630H,"MONITOR, GAS, (BETA)","Contrôleur, gaz (beta)",Goods                                                           
N6630L,VISCOMETER (ALL TYPES),"Viscomètre, tous les types",Goods                                                           
N6630M,WATER SAMPLING KITS (ALL TYPES),"Trousses pour prises d'échantillon de l'eau, tous les types",Goods                                                           
N6630N,SOIL TESTING KITS,Jeux d'analyse du sol,Goods                                                           
N6630P,SPECTROMETER,Spectromètre,Goods                                                           
N6630PA,"SPECTROMETER, NUCLEAR MAGNETIC, RESONANCE (NMR) (INCLUDES       FOURIER TRANSFORM)","Spectromètre, résonnance magnétique nucléaire, RMN, inclut transformée de fourrier",Goods                                                           
N6630PC,"SPECTROMETER, MASS (EXCEPT LEAK DETECTOR TYPE)","Spectromètre, de masse, sauf type détecteur de fuites",Goods                                                           
N6630PCA,IONIZATION SOURCE FOR MASS SPECTROMETERS,Source d'ionisation pour spectrographe de masse,Goods                                                           
N6630PD,"SPECTROMETER, PLASMA EMISSION","Spectromètre, émission de plasma",Goods                                                           
N6630PF,"SPECTROMETER, MASS/ICP SOURCE","Spectromètre, masse/source ICP",Goods                                                           
N6630Q,WATER QUALITY MONITORING SYSTEMS (IN-SITU),Systèmes de contrôle de la qualité de l'eau (in-situ),Goods                                                           
N6630R,CALORIMETERS AND THERMAL ANALYSERS,Calorimètres et analyseurs thermiques,Goods                                                           
N6630RA,CALORIMETERS,Calorimètres,Goods                                                           
N6630RB,"THERMAL ANALYSIS SYSTEMS, INCLUDES THERMOGRAVIMETRIC ANALYSER   (TGA) - DIFFERENTIAL THERMAL ANALYSER (DTA) - THERMO MECHANICAL ANALYSER (TMA) - DIFFENENTIAL SCANNING CALORIMETER (DSC)","Systèmes d'analyse thermique, comprend  l'analyseur thermomassique - analyseur thermique différentiel - analyseur thermomécanique - calorimètre d'analyse différentielle",Goods                                                           
N6630S,Vapour Pressure Determination Apparati & Instruments,Appareil à pression de vapeur,Goods                                                           
N6630T,"METERS/BRIDGES, CONDUCTANCE, CONDUCTIVITY, SALINITY","Compteurs/compteurs montés en dérivation, conductivité, salinité",Goods                                                           
N6635,Physical Properties Testing Equipment,Équipements pour l' examens des propriétes physiques et pour l'inspection,Goods                                                           
N6635A,"ANALYZERS, PARTICLE SIZE","Analyseurs, dimension de particules",Goods                                                           
N6635B,"COMPARATORS, OPTICAL PROJECTION",Projecteur de profil,Goods                                                           
N6635C,Physical Properties Testing Equipment,Équipement de propret physique,Goods                                                           
N6635CA,BOILING POINT DETERMINATION APPARATUS,Appareil déterminant le point d'ébullition,Goods                                                           
N6635CC,MOISTURE DETERMINATORS,Détecteurs d'humidité,Goods                                                           
N6635D,DETECTORS (EXCEPT HAZARD DETECTING),"Détecteurs, sauf détection de danger",Goods                                                           
N6635DA,"DETECTORS, LEAK (GAS, VACUUM, LIQUID)","Détecteurs de fuites, gaz, vide, liquide",Goods                                                           
N6635DC,"DETECTORS, METAL FLAW, ELECTRONIC","Détecteurs, défaut de métal, électroniques",Goods                                                           
N6635DF,"SCANNER, RADIOISOTOPE",Analyseur radio-isotope,Goods                                                           
N6635E,"INSPECTION EQUIPMENT, ULTRA-SONIC","Équipement d'inspection, ultra-sonore",Goods                                                           
N6635F,SPECTROMETER,Spectromètre,Goods                                                           
N6635FA,"SPECTROMETER, ELECTRON IMPACT","Spectromètre, impact électronique",Goods                                                           
N6635FB,"SPECTROMETER, GAMMA RAY","Spectromètre, rayon gamma",Goods                                                           
N6635FC,"SPECTROMETER, MASS, LEAK DETECTOR TYPE","Spectromètre, masse, type détecteur de fuite",Goods                                                           
N6635FE,"SPECTROMETER, FLUORESCENCE","Spectromètre, fluorescence",Goods                                                           
N6635FG,"SPECTROMETER, POCKET","Spectromètre, de poche",Goods                                                           
N6635FJ,"SPECTROMETER, X-RAY DIFFRACTION","Spectromètre, diffraction radiographique",Goods                                                           
N6635FK,"SPECTROMETER, ENERGY DISPERSIVE (EDX)","Spectromètre, dispersant d'énergie, EDX",Goods                                                           
N6635FL,"SPECTROMETER, X-RAY FLUORESCENCE","Spectromètre, rayon-X fluorescence",Goods                                                           
N6635FM,"SPECTROMETER, WAVE DISPERSIVE","Spectromètre, onde dispersive",Goods                                                           
N6635H,TESTERS,Vérificateurs,Goods                                                           
N6635HB,"TESTERS, CABLE TENSIOMETER",Vérificateurs d'indicateur de tension pour câble,Goods                                                           
N6635HC,"TESTERS, MATERIAL HARDNESS",Appareils à éprouver la dureté de matériaux,Goods                                                           
N6635HD,"TESTERS, IMPACT","Vérificateurs, pour choc",Goods                                                           
N6635HF,"TESTERS, MATERIAL STRENGTH",Dynamomètres-compressiomètres,Goods                                                           
N6635HM,"TESTERS, TORQUE TENSION","Bancs d'étalonnage, tension",Goods                                                           
N6635HN,CALIBRATION AND TEST SPECIMENS,Échantillons d'essai et calibrage,Goods                                                           
N6635J,"TESTING EQUIPMENT, NON-DESTRUCTIVE","Banc de contrôle, non destructeur",Goods                                                           
N6635K,TESTING MACHINES,Machines d'essai,Goods                                                           
N6635KB,"TESTING MACHINES, GEAR, (UNIVERSAL)","Machines d'essai, engrenage, universelles",Goods                                                           
N6635KC,"TESTING MACHINES, VIBRATION","Machines d'essai, vibration",Goods                                                           
N6635M,"X-RAY APPARATUS (EXCEPT MEDICAL, DENTAL AND VETERINARY)","Appareil à rayons X, sauf médical, dentaire et vétérinaire",Goods                                                           
N6635MA,"X-RAY APPARATUS, RADIOGRAPHIC, INDUSTRIAL","Appareil radiographique, industriel",Goods                                                           
N6635MD,"X-RAY EQUIPMENT, DIFFRACTION","Équipement radiographique, diffraction",Goods                                                           
N6635MF,"X-RAY FILM, INDUSTRIAL","Film radiographique, industriel",Goods                                                           
N6635N,"BALANCING MACHINE, DYNAMIC-STATIC, HORIZONTAL","Équilibreur dynamique-statique, horizontal",Goods                                                           
N6635P,RHEOMETER,Rhéomètre,Goods                                                           
N6635Q,POROSIMETER,Porosimètre,Goods                                                           
N6636,Environmental Chambers and Related Equipment,Enceintes à ambiance conditionnée et équipement connexe,Goods                                                           
N6636A,ENVIRONMENTAL CHAMBERS,Enceintes à ambiance conditionnée,Goods                                                           
N6636AA,"ENVIRONMENTAL CHAMBERS, CONTROLLED (INCLUDES HUMIDITY AND       TEMPERATURE)","Enceintes à ambiance conditionnée, comprend humidité et température",Goods                                                           
N6636AB,"TEMPERATURE CONTROL CHAMBER, WALK-IN TYPE",Chambre pour contrôle de la température,Goods                                                           
N6636AC,"ENVIRONMENTAL CONTROL CHAMBERS, ANIMAL","Enceintes pour contrôle de l'ambiance, animaux",Goods                                                           
N6636AD,"ENVIRONMENTAL CONTROL CHAMBERS, PLANT GROWTH","Enceintes pour contrôle de l'ambiance, croissance des plantes",Goods                                                           
N6636B,"CHAMBER, ACOUSTIC NOISE, ENVIRONMENTAL TYPE","Enceinte, bruit acoustique, type à ambiance conditionnée",Goods                                                           
N6636D,"CHAMBERS, VACUUM","Chambres, à vide",Goods                                                           
N6636G,RAIN SIMULATION EQUIPMENT,Équipement pour simulation de pluie,Goods                                                           
N6636H,WIND TUNNELS,Tunnels aérodynamiques,Goods                                                           
N6636J,ENVIRONMENTAL CONTROL EQUIPMENT (N.E.S.),Équipement pour contrôle de l'ambiance (N.E.A.),Goods                                                           
N6636K,FERMENTATION CHAMBERS (VESSELS) AND ACCESSORIES,"Chambres de fermentation, récipients et accessoires",Goods                                                           
N6640,Laboratory Equipment and Supplies,Équipement et approvisionnements de laboratoire,Goods                                                           
N6640200,"SHAKING MACHINE, LABORATORY","Tonneau à polir, laboratoire",Goods                                                           
N6640210,PROTEIN DNA/RNA SYNTHESIZERS,"Synthétiseurs de protéines A.D.N., A.R.N.",Goods                                                           
N6640220,PROTEIN DNA/RNA SEQUENCERS,"Séquenceurs de protéines A.D.N., A.R.N.",Goods                                                           
N6640300,ELECTROPHORESIS EQUIPMENT,Équipement électrophorèse,Goods                                                           
N6640A,"CABINETS, LABORATORY","Armoire, laboratoire",Goods                                                           
N6640AA,"CABINETS, DESICCATING (EXCLUDES DESICCATORS)","Armoire, à dessiccation, exclut les dessiccateurs",Goods                                                           
N6640AB,"CABINETS, LABORATORY STORAGE (INCLUDES WOOD, METAL, PLASTIC)","Armoire, rangement, de laboratoire, inclut en bois, métal, plastique",Goods                                                           
N6640AC,"CABINETS, LABORATORY, DESICCATING, VACUUM (EXCLUDES DESICCATORS)","Armoire, laboratoire, dessiccation, à vide, exclut les dessiccateurs",Goods                                                           
N6640B,"CENTRIFUGE, LABORATORY",Centrifugeuse de laboratoire,Goods                                                           
N6640BA,"CENTRIFUGE, LABORATORY, GENERAL PURPOSE","Centrifugeuse de laboratoire, usage général",Goods                                                           
N6640BB,"CENTRIFUGE, ULTRA HIGH SPEED","Centrifugeuse, ultra-haute vitesse",Goods                                                           
N6640BC,"CENTRIFUGE, REFRIGERATED","Centrifugeuse, réfrigérée",Goods                                                           
N6640BD,"CENTRIFUGE ACCESSORIES (INCLUDES ROTORS, SHIELDS, TUBES)","Accessoires de centrifugeuse, incluant rotors, gaines, tubes",Goods                                                           
N6640D,"COUNTING APPARATUS, BACTERIAL COLONY","Compte-colonie, bactériologie",Goods                                                           
N6640E,FREEZE DRYING APPARATUS,Appareil pour séchage à froid,Goods                                                           
N6640EA,TISSUE PROCESSING SYSTEM,Système de traitement de tissu,Goods                                                           
N6640EB,MICROTOME,Microtome,Goods                                                           
N6640F,DEMINERALIZERS (DEIONIZERS),"Déminéralisateurs, désionisateurs",Goods                                                           
N6640G,DISTILLATION EQUIPMENT,Matériel à distillation,Goods                                                           
N6640GB,"DISTILLATION EQUIPMENT, WATER (INCLUDES ELECTRIC, STEAM,        AUTOMATIC","Équipement pour distillation, d'eau, incluant électrique, à vapeur et automatique",Goods                                                           
N6640GD,"DISTILLATION EQUIPMENT, (FOR CONTAMINATED SOLVENT RECOVERY)","Équipement pour distillation, pour la récupération de dissolvant contaminé",Goods                                                           
N6640H,FERMENTATION EQUIPMENT,Équipement de fermentation,Goods                                                           
N6640J,FILTER,Filtre,Goods                                                           
N6640JA,"FILTER, BACTERIOLOGICAL (INCLUDES MEMBRANE)","Filtre, bactériologique, incluant membrane",Goods                                                           
N6640JB,"FILTER, LABORATORY (INCLUDES PAPER, FUNNEL, OTHER THAN GLASS)","Filtre, laboratoire, incluant en papier, entonnoir, autre qu'en verre",Goods                                                           
N6640K,DESICCATORS (INCLUDES VACUUM TYPE),"Dessiccateurs, incluant type à vide",Goods                                                           
N6640M,"FURNITURE, LABORATORY","Mobilier, laboratoire",Goods                                                           
N6640MA,"FURNITURE, LABORATORY METAL","Mobilier, laboratoire, métal",Goods                                                           
N6640MC,"TABLE, BALANCE, LABORATORY","Table, balance, laboratoire",Goods                                                           
N6640N,"GENERATOR, LABORATORY, GAS, OXYGEN AND HYDROGEN","Générateur, laboratoire, gaz, oxygéné et hydrogène",Goods                                                           
N6640NA,"BURNER, GAS, LABORATORY","Brûleur à gaz, laboratoire",Goods                                                           
N6640Q,"INCUBATOR, LABORATORY","Étuve à incubation, laboratoire",Goods                                                           
N6640R,LABORATORY SCHOOL EQUIPMENT (COMMERCIAL STANDARD),"Matériel de laboratoire scolaire, modèle commercial",Goods                                                           
N6640RA,"LABORATORY EQUIPMENT, SPECIAL (N.E.S.)","Matériel de laboratoire, spécial (N.E.A.)",Goods                                                           
N6640S,LABORATORY WARE,Ustensiles de laboratoire,Goods                                                           
N6640SA,LABORATORY GLASSWARE,Verrerie de laboratoire,Goods                                                           
N6640SC,LABORATORY PLATINUMWARE,Ustensiles de laboratoire en platine,Goods                                                           
N6640T,"MIXERS, LABORATORY (INCLUDES STIRRERS AND BLENDERS)","Malaxeurs, laboratoire, incluant agitateurs et mélangeurs",Goods                                                           
N6640U,"OVENS, LABORATORY","Étuve, laboratoire",Goods                                                           
N6640V,"GLASSWARE WASHERS, LABORATORY","Machines à laver la verrerie, laboratoire",Goods                                                           
N6640W,"LIQUID DELIVERY SYSTEMS, AUTOMATIC/AUTOMATED, LABORATORY","Systèmes de livraison automatiques, automatisés des liquides, laboratoire",Goods                                                           
N6640WA,"PIPETTE, AUTOMATIC",Pipette automatique,Goods                                                           
N6640X,"HOODS, LABORATORY","Hottes, laboratoire",Goods                                                           
N6640XA,"HOODS, LABORATORY, CHEMICAL FUME","Hottes, laboratoire, fumée chimique",Goods                                                           
N6640XB,"HOODS, LABORATORY, LAMINAR FLOW","Hottes, laboratoire, flux laminaire",Goods                                                           
N6640XC,"HOODS, LABORATORY, GLOVE BOX (DRY BOX)","Hottes, laboratoire, enceinte à gants de manutention, enceinte de scellement",Goods                                                           
N6640Y,"CRUSHERS, MILLS, LABORATORY","Broyeurs, laboratoire",Goods                                                           
N6640Z,"LABORATORY, AUTOMATION AND ROBOTICS DEVICES","Dispositifs pour laboratoire, automation et robotique",Goods                                                           
N6640ZA,LABORATORY ROBOTICS,La robotique de laboratoire,Goods                                                           
N6640ZB,MICROMANIPULATORS,Micromanipulateurs,Goods                                                           
N6645,Time Measuring Instruments,Instruments de mesure de temps,Goods                                                           
N6645A,CHRONOMETERS,Chronomètres,Goods                                                           
N6645AB,"CHRONOMETERS, STOP WATCH TYPE","Chronomètres, type à déclic",Goods                                                           
N6645B,CLOCKS,Horloges,Goods                                                           
N6645BD,"CLOCKS, DIGITAL","Cadrans, numériques",Goods                                                           
N6645BJ,"CLOCKS, TIME CONTROL SYSTEM","Horloges, système de contrôle de temps",Goods                                                           
N6645EB,"TIMERS, ELECTRONIC FOR MEASURING ELAPSED TIME","Minuteries, électroniques pour mesurer le temps écoulé",Goods                                                           
N6645ED,"TIMERS, X-RAY","Minuteries, radiographie",Goods                                                           
N6645EF,"TIMERS, GENERAL (N.E.S.)","Minuteries, générales (N.E.A.)",Goods                                                           
N6645G,WATCHES,Montres,Goods                                                           
N6645GB,"WATCHES, WRIST, N.E.S.","Montres, bracelet (N.E.A.)",Goods                                                           
N6645GC,"WATCHES, DIGITAL","Montres, numériques",Goods                                                           
N6645GE,"WATCHES, WRIST, CHRONOMETER, RCAF INST 53-2, DND QPL","Montres, bracelet, chronomètre, RCAF INST 53-2, LPH du MDN",Goods                                                           
N6650,"Optical Instruments, Test Equipment, Components and Accessories","Instruments d'optique, matériel d'essai, composants et accessoires",Goods                                                           
N6650A,BINOCULARS (OTHER THAN FIRE CONTROL OPTICAL SIGHTING AND        RANGING EQUIPMENT),Jumelle (autre que l'équipement de repérage et de visée d'optique pour la direction du tir),Goods                                                           
N6650B,BORESCOPE,Endoscope,Goods                                                           
N6650C,FLUOROMETER,Fluoromètre,Goods                                                           
N6650D,"GAGE, MEASURING LASER","Manomètre, laser de mesurage",Goods                                                           
N6650F,IMAGE ANALYSIS SYSTEMS,Systèmes d'analyse d'images,Goods                                                           
N6650G,OPTICAL MULTICHANNEL ANALYZER,Analyseur multicanal optique,Goods                                                           
N6650H,LENS OPTICAL (ALL TYPES),"Lentilles optiques, tous les types",Goods                                                           
N6650J,MAGNIFIER (ALL TYPES),"Loupe, tous les types",Goods                                                           
N6650K,Microscope,Microscope,Goods                                                           
N6650KA,"MICROSCOPE, COMPOUND (INCLUDES, PHASE, POLARIZING)","Microscope, composé, comprend à phase, polarisant",Goods                                                           
N6650KB,"MICROSCOPE, ELECTRON (INCLUDES SEM AND TEM)","Microscope, électronique, comprend SEM et TEM",Goods                                                           
N6650KBA,"MICROSCOPE, ELECTRON, ACCESSORIES","Microscope, électronique, accessoires",Goods                                                           
N6650KD,"Microscope, Laser","Microscope, laser",Goods                                                           
N6650KE,"Microscope, Stereo","Microscope, stéréo",Goods                                                           
N6650KF,"MICROSCOPE ACCESSORIES, EXCEPT ELECTRON","Accessoires de microscope, sauf électroniques",Goods                                                           
N6650KG,"MICROSCOPE, INVERTED","Microscope, renversé",Goods                                                           
N6650L,Optical Components,Composants d'optique,Goods                                                           
N6650M,PHOTOMETER,Photomètre,Goods                                                           
N6650MA,PHOTOMETERS (FLAME AND OPTICAL),"Photomètre, flamme et optique",Goods                                                           
N6650MB,LUMINOMETER (BIO AND CHEMILUMINESCENCE),"Luminomètre, BIO et chimiluminescence",Goods                                                           
N6650N,POLARIMETER,Polarimètre,Goods                                                           
N6650Q,SPECTROPHOTOMETER,Spectrophotomètre,Goods                                                           
N6650QA,"SPECTROPHOTOMETER, ULTRA-VIOLET/VISIBLE, SINGLE AND DOUBLE BEAM","Spectrophotomètre, ultra-violet, visible, faisceau simple et double",Goods                                                           
N6650QB,"SPECTROPHOTOMETER, FLUORESCENCE (SPECTROFLUOROMETER)","Spectrophotomètre, fluorescence, spectrofluoromètre",Goods                                                           
N6650QC,"SPECTROPHOTOMETER, INFRARED (SINGLE AND DOUBLE BEAM)","Spectrophotomètre, infrarouge, faisceau simple et double",Goods                                                           
N6650QD,"SPECTROPHOTOMETER, INFRARED (FOURIER-TRANSFORM)","Spectrophotomètre, infrarouge, transformée de fourrier",Goods                                                           
N6650QE,SPECTROPHOTOMETER ACCESSORIES,Accessoires de spectrophotomètre,Goods                                                           
N6650QF,"SPECTROPHOTOMETER, ATOMIC ABSORPTION","Spectrophotomètre, absorption atomique",Goods                                                           
N6650R,SPECTROSCOPES,Spectroscopes,Goods                                                           
N6650S,"TELESCOPES, ALL TYPES","Télescopes, tous les types",Goods                                                           
N6650U,"REFRACTOMETERS, OPTICAL (ALL TYPES)","Réfractomètres optiques, tous les types",Goods                                                           
N6650V,Body Scanning Measuring and Sizing System,Dispositif scanneur pour mesures et dimensions corporelles,Goods                                                           
N6655,Geophysical Instruments,Instruments de géophysique,Goods                                                           
N6655A,"DETECTORS, RADIATION ALL TYPES, GEOPHYSICAL TYPE","Détecteurs, tous les types de radiation, type géophysique",Goods                                                           
N6655C,GEODETIC INSTRUMENTS,Instruments géodésiques,Goods                                                           
N6655D,MAGNETOMETERS,Magnétomètres,Goods                                                           
N6655DA,"MAGNETOMETERS, GEOPHYSICAL","Magnétomètres, géophysiques",Goods                                                           
N6655DC,"MAGNETOMETERS, OCEANOGRAPHIC","Magnétomètres, océanographiques",Goods                                                           
N6655F,OCEANOGRAPHIC INSTRUMENTS,Instruments océanographiques,Goods                                                           
N6655FB,HYDROPHONE,Hydrophone,Goods                                                           
N6655FC,"OCEAN PROBES (TEMPERATURE, DEPTH, SALINITY)","Sondes océaniques, température, profondeur, salinité",Goods                                                           
N6655G,SEISMOGRAPHIC INSTRUMENTS,Instruments sismographiques,Goods                                                           
N6655GA,"DRILLHOLE LOGGING, SEISMOGRAPHIC","Diagraphie de forage, sismographique",Goods                                                           
N6655H,ELECTROMAGNETIC INSTRUMENTATION,Appareillage électromagnétique,Goods                                                           
N6655J,BOREHOLE EQUIPMENT SYSTEMS,Systèmes d'équipement pour trous de sondage,Goods                                                           
N6655K,RESISTIVITY INSTRUMENTATION,Appareillage de résistivité,Goods                                                           
N6655KA,DC RESISTIVITY AND SELF POTENTIAL MEASURING SYSTEM,"Système de mensuration DC, résistivité et potentiel automatique",Goods                                                           
N6655M,"PORE PRESSURE MEASURING DEVICES (INCLUDES: PIEZOMETERS, PRESSURE CELLS, TRANSDUCERS)","Dispositifs de mesure de pression de couche, comprend piézomètres, pression de cellules, transducteurs",Goods                                                           
N6655N,SETTLEMENT AND DISPLACEMENT MEASURING EQUIPMENT,Équipement de mesure pour le tassement et le déplacement,Goods                                                           
N6655NE,STRAIN/STRESS METERS,Tensiomètres,Goods                                                           
N6660,Meteorological Instruments and Apparatus,Instruments et appareils météorologiques,Goods                                                           
N6660301,"METEOROLOGICAL STATION, AUTOMATIC, REPORTING, RADAR","Station météoroloqique, automatique, comptes rendus, radar",Goods                                                           
N6660999,METEOROLOGICAL INSTRUMENTS AND APPARATUS ELECTRICAL AND         ELECTRONIC COMPONENTS AND SPARES,"Instruments et appareils météoroloqiques, composants et rechange électriques et électroniques",Goods                                                           
N6660A,"ANEMOMETER, METEOROLOGICAL TYPE","Anémomètre, type météorologique",Goods                                                           
N6660B,"BALLOON, METEOROLOGICAL","Ballon, météorologiques",Goods                                                           
N6660BB,"PARACHUTES PAPER, METEOROLOGICAL, RADIOSONDE SETS","Parachutes à papier, instruments météorologiques, postes de radiosonde",Goods                                                           
N6660C,CEILOMETER,Ceilomètre,Goods                                                           
N6660F,GAGE (METEOROLOGICAL INSTRUMENT),Indicateur (instrument météorologique),Goods                                                           
N6660FA,"GAGE, RAIN (PRECIPITATION)","Indicateur, pluie (précipitation)",Goods                                                           
N6660G,INDICATORS (METEOROLOGICAL INSTRUMENTS),Indicateurs (instruments météorologiques),Goods                                                           
N6660GA,"INDICATOR, WIND DIRECTION AND SPEED","Indicateur, direction du vent et vitesse",Goods                                                           
N6660J,"RECORDER, METEOROLOGICAL INSTRUMENT",Enregistreur (instrument météorologique),Goods                                                           
N6660JA,"RECORDER, CHART TYPE, METEOROLOGY ONLY (INCLUDES SUPPLIES)","Indicateur, type graphique, météorologie seulement, comprend les fournitures",Goods                                                           
N6660JC,"RECORDER, SUNSHINE DURATION","Indicateur, durée de la lumière du soleil",Goods                                                           
N6660JE,"RECORDER, TEMPERATURE","Enregistreur, température",Goods                                                           
N6660K,"RECORDING SET, WEATHER DATA","Poste enregistreur, données météorologiques",Goods                                                           
N6660M,THERMOGRAPH,Thermographe,Goods                                                           
N6660N,"BAROMETER, METEOROGICAL, ALL TYPES","Baromètre météorologique, tous les types",Goods                                                           
N6660P,WIND SOCK,Manche à air,Goods                                                           
N6660Q,TRANSMISSOMETER (ALL TYPES),"Transmissomètre, tous les types",Goods                                                           
N6665,Hazard-Detecting Instruments and Apparatus,Instruments et appareils de détection de danger,Goods                                                           
N6665A,"ALARM SYSTEMS, HAZARD DETECTING","Systèmes d'avertisseur, détection de danger",Goods                                                           
N6665AB,"ALARM SYSTEMS, GAS, RADIOACTIVE","Systèmes d'alarme, gaz, radioactifs",Goods                                                           
N6665B,"DETECTORS, HAZARD",Détecteurs de danger,Goods                                                           
N6665BAA,"DETECTORS, HAZARD, CONCEALED WEAPON, WALK-THROUGH","Détecteurs de danger, arme dissimulée, piétons",Goods                                                           
N6665BAB,"DETECTORS, HAZARD, CONCEALED WEAPON, HAND-HELD","Détecteurs de danger, arme dissimulée, tenue à la main",Goods                                                           
N6665BAC,"DETECTORS, HAZARD, CONCEALED WEAPON, X-RAY INSPECTION","Détecteurs de danger, arme dissimulée, inspection à la  radiographie",Goods                                                           
N6665BB,"DETECTORS, HAZARD, EXPLOSIVES","Détecteurs, de danger, explosifs",Goods                                                           
N6665BC,"DETECTORS, HAZARD, RADIATION","Détecteurs de danger, radiation",Goods                                                           
N6665BCB,"DETECTORS, HAZARD, RADIATION, DOSIMETER TYPE","Détecteurs de danger, radiation, type dosimètre",Goods                                                           
N6665BCC,"HOLDERS FOR DETECTORS, DOSIMETER TYPE","Supports pour détecteurs, type dosimètre",Goods                                                           
N6665BE,"DETECTORS, HAZARD, GAS (INCLUDES TOXIC AND EXPLOSIVE)","Détecteurs de danger, gaz, toxique et explosif compris",Goods                                                           
N6665BFA,"DETECTOR KIT, CHEMICAL AGENT (NERVE)","Nécessaire détecteur, agent chimique, nerfs",Goods                                                           
N6665BFB,"DETECTOR KIT COMPONENTS, N.E.S.",Composants de nécessaire détecteur (N.E.A.),Goods                                                           
N6665BFC,"DETECTOR, CHEMICAL AGENT (NERVE)","Détecteur, agent chimique, nerfs",Goods                                                           
N6665BFE,"ANALYZING KIT, CHEMICAL AGENT (CW)","Nécessaire d'analyse, agent chimique, GC",Goods                                                           
N6665BFG,"DETECTION TUBE ASSEMBLY, CHEMICAL AGENTS (CW)","Ensemble, tube de détection, agents chimiques, GC",Goods                                                           
N6665BG,"DETECTORS, NBCW (ELECTRICAL AND ELECTRONIC)","Détecteurs, GNBC, électrique et électronique",Goods                                                           
